iter	Passed	Remaining
0	61	18287
1	63	9437
2	65	6473
3	67	4972
4	69	4091
5	71	3522
6	73	3085
7	75	2766
8	78	2527
9	80	2324
10	82	2158
11	84	2023
12	86	1906
13	88	1801
14	89	1709
15	91	1628
16	93	1557
17	95	1492
18	97	1434
19	98	1383
20	100	1338
21	102	1295
22	104	1255
23	105	1218
24	107	1184
25	109	1156
26	111	1130
27	113	1105
28	115	1079
29	117	1055
30	119	1034
31	120	1012
32	122	992
33	124	974
34	126	957
35	128	940
36	130	924
37	131	908
38	133	893
39	135	879
40	137	865
41	139	854
42	140	841
43	142	829
44	144	817
45	146	806
46	147	796
47	149	785
48	151	775
49	153	766
50	155	756
51	156	748
52	158	738
53	160	731
54	162	725
55	165	720
56	167	712
57	169	705
58	170	698
59	172	690
60	174	684
61	176	678
62	178	671
63	180	664
64	182	658
65	184	652
66	186	647
67	188	641
68	189	635
69	191	629
70	193	623
71	195	618
72	196	612
73	198	606
74	200	601
75	202	596
76	204	591
77	205	585
78	207	580
79	209	576
80	211	571
81	214	569
82	215	564
83	217	559
84	219	555
85	221	550
86	222	545
87	224	541
88	226	537
89	228	533
90	230	528
91	232	525
92	234	521
93	236	517
94	237	513
95	239	508
96	241	504
97	243	501
98	244	497
99	246	493
100	248	489
101	250	485
102	252	482
103	254	478
104	256	475
105	258	472
106	260	469
107	261	465
108	263	462
109	265	458
110	267	455
111	269	452
112	271	449
113	273	446
114	275	443
115	277	440
116	279	437
117	282	434
118	283	431
119	285	428
120	287	425
121	289	422
122	291	419
123	293	416
124	295	413
125	297	410
126	299	407
127	301	405
128	303	402
129	306	400
130	308	397
131	309	394
132	311	391
133	313	388
134	314	384
135	316	381
136	318	378
137	319	375
138	321	372
139	323	370
140	325	367
141	327	364
142	329	361
143	331	359
144	333	356
145	335	353
146	337	350
147	338	347
148	340	345
149	342	342
150	344	339
151	346	337
152	348	334
153	349	331
154	351	328
155	353	326
156	355	323
157	357	321
158	359	318
159	361	316
160	362	313
161	364	310
162	366	308
163	368	305
164	370	303
165	372	300
166	374	298
167	375	295
168	377	292
169	379	290
170	381	287
171	383	285
172	385	282
173	386	280
174	388	277
175	390	275
176	392	272
177	394	270
178	396	267
179	397	265
180	399	262
181	401	260
182	403	257
183	404	255
184	406	252
185	408	250
186	410	247
187	411	245
188	413	242
189	415	240
190	417	238
191	419	235
192	420	233
193	422	230
194	424	228
195	426	226
196	427	223
197	429	221
198	431	219
199	433	216
200	435	214
201	436	211
202	438	209
203	440	207
204	442	204
205	444	202
206	445	200
207	447	198
208	449	195
209	451	193
210	453	191
211	454	188
212	457	186
213	459	184
214	460	182
215	462	180
216	465	177
217	466	175
218	468	173
219	470	171
220	472	168
221	474	166
222	476	164
223	477	162
224	479	159
225	481	157
226	483	155
227	485	153
228	487	151
229	489	148
230	491	146
231	492	144
232	494	142
233	496	139
234	498	137
235	499	135
236	501	133
237	503	131
238	504	128
239	506	126
240	508	124
241	510	122
242	511	120
243	513	117
244	515	115
245	517	113
246	518	111
247	520	109
248	522	107
249	524	104
250	526	102
251	528	100
252	529	98
253	531	96
254	533	94
255	535	92
256	537	89
257	539	87
258	541	85
259	542	83
260	544	81
261	546	79
262	549	77
263	550	75
264	552	73
265	554	70
266	556	68
267	558	66
268	560	64
269	562	62
270	564	60
271	565	58
272	567	56
273	569	54
274	571	51
275	573	49
276	575	47
277	577	45
278	579	43
279	581	41
280	583	39
281	585	37
282	587	35
283	589	33
284	591	31
285	593	29
286	594	26
287	596	24
288	598	22
289	600	20
290	602	18
291	604	16
292	605	14
293	607	12
294	609	10
295	611	8
296	613	6
297	615	4
298	616	2
299	618	0
