no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,gender,marital_status,age,employment_type,years_at_current_job,previous_defaults,collateral_value,region,emi_ratio,target
4,Not Graduate,Yes,9273342,2647040,60,442,1598602,4923898,Female,Single,30,Salaried,0,0,163872,Rural,0.29,0
2,Graduate,No,4188396,18099884,240,672,6755229,3810477,Female,Divorced,25,Business,20,0,2258587,Urban,4.32,1
0,Graduate,No,2865707,5222077,120,657,7956388,4469139,Male,Single,40,Govt Job,27,0,2137226,Rural,1.82,1
2,Graduate,No,469830,448785,6,798,3294150,2310419,Female,Married,26,Salaried,24,0,6847331,Urban,0.96,1
2,Graduate,Yes,2435643,15945878,60,614,3161826,612198,Male,Single,49,Business,4,1,1435319,Urban,6.55,0
4,Not Graduate,No,3615493,2203583,12,437,8071147,1968650,Male,Married,64,Business,26,1,4450843,Rural,0.61,0
1,Graduate,No,1390533,5848575,120,500,536927,247926,Male,Single,32,Govt Job,9,0,4162338,Rural,4.21,0
3,Not Graduate,Yes,4054008,11509549,120,880,1718835,1420475,Female,Married,31,Govt Job,1,0,8422802,Rural,2.84,1
3,Graduate,Yes,470362,7739488,120,702,3297724,472090,Female,Divorced,25,Business,25,0,4527994,Rural,16.45,0
4,Graduate,No,1559993,6412199,60,834,1795590,2867092,Male,Single,62,Govt Job,22,0,1100769,Urban,4.11,1
3,Not Graduate,No,2193397,6419744,240,821,9795465,110472,Male,Divorced,33,Govt Job,25,0,3251078,Semi-Urban,2.93,1
2,Not Graduate,Yes,9182746,5395158,240,879,805080,2156495,Female,Divorced,58,Govt Job,7,0,5342869,Urban,0.59,1
2,Not Graduate,Yes,7823199,4745844,12,466,5774640,4930597,Male,Married,33,Govt Job,16,1,1273864,Semi-Urban,0.61,0
1,Not Graduate,No,3156641,17913589,12,533,8744078,1975552,Male,Married,51,Salaried,9,0,452815,Urban,5.67,0
